ted0,ted1,eth0,eth1,label
20.86893654,-12.42995071,4.552880764,-3.848762274,0
-12.98039627,10.72911549,-2.828919649,3.193828821,1
-20.6079483,7.652264118,-2.280705214,2.668200254,1
13.66752052,-4.266942978,4.984411716,-3.606806517,0
-20.89579964,7.629170895,-2.450587034,2.244760036,1
8.712364197,-3.205597878,5.810761929,-4.684662342,0
-16.91349602,7.44314909,-2.353718519,2.231650591,1
-13.76540375,4.743697643,-3.183565855,2.676357031,1
14.95602322,-3.03918457,5.44980526,-4.289671421,0
3.353487015,-0.890606046,5.983304501,-4.490029812,0
7.718550205,-2.749943733,5.057069302,-4.734157562,0
-18.8108387,7.595691681,-2.016717196,2.171235561,1
12.73107433,-5.660828114,4.859486103,-4.416063786,0
12.42389584,-4.13946104,3.253338575,-2.512266874,0
21.27814293,-6.109230518,4.054672241,-3.331806421,0
10.67905617,-4.368933678,4.820693493,-4.5619874,0
10.86610126,-4.012929916,5.071078777,-4.772876263,0
16.42414093,-6.336076736,4.247668266,-3.957494736,0
6.054863453,-2.271353722,4.332276821,-4.069211483,0
-4.208943367,6.691468716,-3.692021847,3.757349014,1
35.15470886,-11.26290226,4.987329483,-3.700370789,0
8.981859207,-4.413006783,4.202633858,-3.262186527,0
10.64801025,-4.054506779,5.264661312,-5.32943964,0
11.41760826,-4.760483742,6.314202785,-4.70379591,0
-14.30670929,8.129772186,-2.563149691,2.745237112,1
-9.139519691,6.554329872,-5.557126045,5.43701601,1
-25.89509964,7.430639267,-1.924828291,1.803412437,1
8.924001694,-6.246254921,4.85884428,-4.046083927,0
-18.78036118,6.280195236,-2.658047676,2.269218683,1
-18.09267044,3.998143435,-3.005070448,2.944255114,1
-29.04602814,8.360312462,-2.405663252,3.279087305,1
13.73952007,-5.517189503,4.94641304,-4.962706566,0
-14.95341682,4.523249626,-5.241811752,4.316196918,1
-19.06850243,5.743710041,-3.203135252,3.639889717,1
9.928297997,-2.692737103,5.154209614,-4.452663898,0
-19.51983452,6.996464252,-4.116553307,4.517733574,1
18.06136131,-8.722868919,4.443411827,-3.612077713,0
12.56736279,-3.024624348,4.466623306,-4.169697285,0
-25.006464,8.208872795,-2.473538399,3.384476423,1
7.108689785,-3.177596569,6.281686783,-4.23042202,0
12.16261292,-6.864319324,5.664692402,-4.151691914,0
-1.813075304,4.637690067,-2.003462076,2.217134476,1
14.85237503,-9.198874474,5.394064903,-4.421788216,0
-11.34566116,4.035531998,-3.228164434,2.867412806,1
-18.56833076,7.494333267,-3.274873734,3.803953648,1
-22.22117424,7.605752468,-2.78854084,2.598339796,1
-14.70224094,6.377794743,-3.254161596,2.784588575,1
11.39345646,-4.026408672,5.32482481,-4.378903389,0
-15.78936577,4.55484724,-3.074586391,2.825835943,1
-38.92065048,16.56939125,-3.805844545,3.61830163,1
-15.92124653,4.653186798,-2.758886099,2.664817572,1
-18.04126549,11.26491642,-1.566486478,1.40959084,1
11.81066895,-7.042345524,2.186627626,-1.937786341,0
-25.12262726,6.690169334,-3.374958038,3.097310305,1
19.51768112,-7.415318489,5.742400169,-3.85628581,0
5.527683258,-1.025822401,4.34687376,-4.284851551,0
14.67514038,-5.312010288,4.778514862,-4.126375675,0
-19.49030495,6.840711594,-2.612755299,3.005899191,1
15.15791321,-4.78966856,5.578011513,-3.958672523,0
12.60223579,-4.232258797,5.255712986,-4.450208187,0
15.90429497,-6.202272415,4.081365108,-3.409229755,0
10.83782196,-4.969755173,4.030163288,-3.752053022,0
-15.55957031,10.26167297,-5.528810501,5.273681164,1
33.49690247,-13.43954372,-3.622205973,2.944225073,0
-0.153426424,4.045211792,-3.168422461,3.032761574,1
16.57460594,-3.484430313,0.197729796,-0.382351488,0
-20.33454323,4.577679157,-3.064318419,4.10135746,1
14.26553917,-9.033079147,5.012469292,-4.110502243,0
-5.404927254,4.307163715,-2.050318241,2.006834745,1
-34.02474213,16.94361877,-4.554860115,4.223977566,1
-18.14950371,11.10655594,-4.120985508,4.190592766,1
-20.53633881,9.49865818,-3.343969584,4.42861557,1
8.732400894,-5.359661102,4.971622467,-3.802598953,0
14.53246689,-13.87739754,4.048831463,-3.953469515,0
-25.57106018,7.783151627,-4.357529163,3.902540207,1
-17.02731895,9.248839378,-4.196358681,4.038566113,1
11.7797327,-4.453783035,5.44661808,-4.131018639,0
-21.50976563,8.659389496,-3.593272686,3.985440493,1
-21.75456238,7.9373703,-2.99094367,3.015136003,1
17.93900871,-10.69613361,5.751162529,-3.15242219,0
-29.612463,9.329041481,-2.808621883,3.482103586,1
-13.54481697,15.27505302,-4.20642519,4.266189575,1
-16.49880028,7.177727222,-3.701047659,3.096562147,1
-21.00214386,6.851102829,-2.534369707,2.56133604,1
-20.78632355,6.132539272,-3.699003935,3.76074338,1
-22.18906593,9.150324821,-2.908431292,3.192981005,1
-24.36794472,7.435698986,-2.2014606,2.752426386,1
11.28244686,-3.896409988,4.979103088,-4.484050274,0
7.234793663,-3.571955681,5.601476669,-4.461464405,0
29.46650314,-16.14077568,5.520217896,-4.988102913,0
18.09412575,-9.236620903,5.643043041,-4.467844009,0
-21.30398941,6.851371765,-2.961831808,2.9651618,1
12.91366863,-4.877201557,5.74204874,-4.503508568,0
13.53405476,-7.384456158,5.285071373,-3.538486242,0
17.45222282,-5.215197086,-3.405808926,2.925435781,0
13.0224371,-4.892936707,6.560650826,-5.130782127,0
14.02348804,-5.614040852,4.652178288,-4.135934353,0
-21.80578041,6.849515438,-2.626676559,2.24860239,1
9.204275131,-6.290192127,5.990533829,-4.533910275,0
41.50520706,-16.50167274,3.869375706,-2.988130093,0
7.789040089,-3.661484718,4.304631233,-2.933398724,0
14.92436028,-6.303116322,5.20501852,-5.058409214,0
-26.72578812,5.666721821,-3.636416435,3.805425644,1
-2.539883137,6.469268799,-3.764670134,4.188486099,1
-30.00022697,6.399526119,-3.126266956,3.047516346,1
-17.80481911,7.054624081,-3.314960718,3.81598711,1
-16.96740532,4.739113331,-2.874989033,4.010230541,1
-17.08564568,5.13903141,-3.604002237,3.751833439,1
12.3187418,-5.487251759,5.301652431,-3.088125467,0
27.82012177,-5.52473402,4.591282368,-4.385528564,0
-18.35265541,5.33450079,-2.115610838,2.218510151,1
14.17535591,-6.076222897,3.926126957,-3.103758812,0
11.01225662,-4.857581139,4.897669792,-4.652691841,0
9.033265114,-4.916267872,6.348852158,-4.973021507,0
22.83555794,-8.472226143,6.414243698,-4.919002533,0
14.10589886,-6.933419228,3.905282736,-4.275486469,0
-22.43302727,6.245930672,-3.232033968,3.739521027,1
-19.50586319,4.812571526,-4.219539642,4.507153988,1
13.19417667,-6.241094589,4.674983978,-4.985157013,0
-19.24253273,10.06498146,-3.634077549,3.089946508,1
0,1,4.762185097,-4.087373734,0
1,0,-2.531236172,2.699241877,1
0,1,4.087048531,-3.467081547,0
0,1,5.495447159,-4.282129765,0
0,1,5.222470284,-3.409557819,0
0,1,-2.774505377,2.605385065,1
1,0,1,0,1
1,0,1,0,1
1,0,0,1,0
0,1,0,1,0
1,0,1,0,1
1,0,1,0,1
