ted0,ted1,eth0,eth1,label
-12.66425419,11.10135555,-3.083512068,2.930641413,1
-11.14363098,8.241393089,-3.093278885,2.744005442,1
-2.029633522,3.133571148,-3.167303562,3.261867523,1
-12.20196247,10.016819,2.790207386,-1.835695505,1
-8.404230118,8.163253784,-2.835104704,2.672586679,1
-14.73696899,15.4538641,-2.487315178,2.376743555,1
-10.27010632,7.964565754,-6.065499783,6.000532627,1
-9.101813316,9.695753098,-2.909030199,3.012515783,1
9.496706009,-11.20353794,1.182517171,-0.862512231,0
19.91988754,-29.02388191,9.554395676,-4.07896471,0
10.93099403,-9.40139389,1.49770093,-0.907766998,0
6.181818008,-7.745500565,-1.050852895,0.926503837,0
-7.67131424,8.97960186,-2.712277174,2.412546396,1
-0.171799958,0.159353614,5.427631378,-3.609242201,0
-19.0321064,14.72298336,-2.147705793,2.509422064,1
-11.22726154,10.5172081,-4.78608799,4.743217468,1
8.041254997,-11.08405876,-0.268904924,0.901419818,0
-11.82617664,11.66654301,-2.49511385,2.521955729,1
12.04768848,-14.0652132,2.380241632,-1.119707584,0
11.10503769,-18.7910862,-1.459933996,1.482101679,0
14.6480341,-14.7888937,-0.493360102,0.560289979,0
-10.75760937,8.928359985,-3.321848154,3.972279787,1
10.2638855,-8.564571381,2.034451723,-1.119975686,0
-4.331564426,5.36476469,-3.17800498,2.730491877,1
-10.58482075,10.60251617,-2.053803444,2.454385757,1
-10.97832108,10.42333221,1.324214816,-0.676321626,1
-0.173717812,0.163357764,2.44496274,-1.408512831,0
-11.47280693,11.22633743,-3.309322596,3.692192078,1
-9.265146255,8.029655457,-4.599502087,5.045640945,1
9.302261353,-8.229719162,1.222644329,-0.916627228,0
7.827296734,-9.478526115,1.705530167,-1.060416222,0
3.333248138,-7.502707958,1.073723555,-0.788217485,0
-9.187231064,8.953281403,-5.970149994,4.544632435,1
5.750859261,-7.746774673,4.859144211,-2.585283995,0
7.788342476,-3.407545328,1.935804605,-1.32226944,0
7.025502205,-8.101643562,0.686985493,-0.685651481,0
3.616997957,-11.00245285,1.801089287,-1.173588037,0
9.398394585,-3.603142977,0.696791887,-0.444929689,0
-9.076998711,7.416989326,-3.686462164,3.429322004,1
-10.44186592,7.930808067,-3.360707998,2.684374571,1
-7.797037125,7.13432312,-1.472889543,1.807663202,1
5.607265472,-5.553524017,-1.152916312,1.218296766,0
5.890669823,-3.564424515,1.670101404,-0.896434009,0
-4.462303638,3.730829477,-2.61861062,2.63776803,1
-8.780800819,7.127298832,-4.520993233,3.894393682,1
-10.37974262,8.208849907,-3.128919601,3.344985962,1
-4.07640028,3.302042723,-1.899185777,1.411344647,1
5.420096397,-5.596955299,1.993204594,-0.959250152,0
6.011868954,-8.816134453,2.205302477,-2.111147165,0
9.18825531,-11.69062614,1.873579979,-1.295378685,0
4.282259941,-7.709727287,0.730390847,-0.286349088,0
-11.77298355,11.64008141,-6.480021954,4.779051304,1
8.119403839,-9.463787079,1.781714678,-0.673295677,0
2.927744865,-4.042476654,1.720333099,-1.367803335,0
-11.09275913,10.75432396,-0.793506563,1.21860826,1
-14.78796482,16.93507957,-1.947209358,1.993666053,1
-3.169643641,2.105870008,-1.217339993,1.532132626,1
3.616760015,-3.879578114,1.092226267,-0.74906981,0
-11.45177841,10.34385967,-4.452068329,3.774619341,1
3.667271614,-3.582833767,0.992611647,-0.706832528,0
-8.678911209,4.804583549,-2.24540925,2.156460762,1
6.666599751,-2.052142859,0.908618867,-0.640058398,0
9.585127831,-11.36920547,3.631837606,-1.739503384,0
-17.4867115,16.27414703,-3.183801413,3.339191198,1
-7.343913555,5.239524841,-1.394663572,1.976172686,1
-7.605411053,4.311311245,-3.027063608,3.366538286,1
-2.040146589,3.362441063,-1.534078836,1.410248756,1
-1.523746729,1.045790195,-1.648022652,1.792365432,1
10.63063335,-8.965497971,1.927936316,-1.123394132,0
