ted0,ted1,eth0,eth1,label
2.389549494,-17.10234451,0.281539053,0.666421533,0
6.05008316,-11.61728859,0.111486934,0.988759995,0
2.883993387,-8.490494728,0.99977392,0.000431768,0
4.866642475,-12.62615871,0.00015811,1.00E+00,0
-7.645246983,14.65608788,0.176184967,8.12E-01,1
3.765231609,-8.370531082,0.000336766,0.999061406,0
-7.832999706,11.50958061,0.210621551,0.867237031,1
-8.091664314,15.05489731,0.000932947,0.999110997,1
-6.878880024,11.87634945,0.658247054,0.482636809,1
3.795086384,-9.102048874,0.016832624,0.978898048,0
3.734750032,-9.245685577,0.999988079,7.37E-05,0
3.664502144,-11.52425003,0.999968767,1.66E-05,0
4.169534683,-9.504142761,0.988978326,0.03400163,0
4.882057667,-7.179130077,0.000357616,0.997789145,0
-3.817169905,7.159587383,0.953539371,0.198745653,1
4.980381966,-10.93743896,0.999968767,0.000191874,0
4.123301983,-10.46178055,0.000324445,0.999545872,0
-6.152594566,8.123422623,0.99993515,0.001005905,1
-7.316973686,10.38188934,0.999979377,6.04E-06,1
1.841075897,-10.44337273,0.444943935,7.94E-01,0
-6.553455353,9.978240967,0.68206507,0.681352019,1
-5.643095016,6.790403843,1.02E-06,0.999997377,1
-6.350022793,12.72979832,0.999830365,0.000203826,1
2.466267586,-12.30952454,0.997338951,0.009866944,0
1.084303737,-13.61501789,0.000163584,1.00E+00,0
-5.143017769,8.635720253,0.998556197,0.019811528,1
-5.04373455,8.835301399,0.111470118,0.93491292,1
-6.430815697,11.03237534,0.999345124,0.000911643,1
2.539087534,-9.518408775,0.999978423,2.17E-04,0
5.030428886,-8.163058281,0.002602278,0.999078274,0
2.646327496,-7.817072868,0.889551163,0.161295593,0
-10.32859516,17.10699081,0.999997973,2.14E-05,1
6.619018078,-7.881752491,0.069084585,0.966578126,0
-7.893093109,12.22663021,0.999549448,0.003321492,1
5.665311813,-9.299685478,0.068052895,0.966403544,0
3.218389273,-9.712378502,0.006680398,0.997867346,0
6.253211975,-8.439492226,0.000725349,0.999745071,0
-6.42716217,11.36180782,0.000618178,0.998275876,1
-8.508191109,13.54694462,0.003075892,0.99793756,1
5.007512569,-10.94722652,0.031048745,0.98082608,0
-9.255954742,14.84388924,0.011006452,9.95E-01,1
-12.84228706,14.65040016,0.560543478,0.724877357,1
3.31961894,-9.122476578,0.999993563,5.51E-05,0
8.166131973,-5.413608074,0.001522199,0.993976831,0
-5.36698103,6.697021484,0.982882917,0.110564858,1
1.988366365,-11.82647228,0.92426461,0.183444679,0
3.857133627,-12.38682461,0.999891281,0.0002441,0
2.072677135,-10.4323988,0.99770385,3.46E-03,0
2.540800333,-9.085111618,0.908051312,0.31912595,0
4.55488205,-9.825619698,0.987720668,0.040066171,0
5.388195515,-9.355078697,0.999911547,0.000924317,0
-6.035390854,11.09280014,0.999893904,0.000219019,1
3.868151188,-10.80601692,0.989947379,0.096751355,0
-5.237186909,6.314687252,0.004401976,9.95E-01,1
-6.281646252,11.84658241,0.000184369,0.999917865,1
-7.243340015,12.22861671,3.98E-05,0.999771893,1
-8.882533073,15.94773769,0.998508513,0.01045702,1
-6.458152771,11.60017109,0.13873142,0.941115141,1
-2.71697402,8.763455391,0.999954343,0.000216372,1
2.733888626,-8.258485794,0.996655464,0.003935108,0
2.216640711,-8.265872955,0.003947362,0.996070147,0
-6.97437048,10.87636852,3.74E-07,0.999998808,1
-5.632866859,11.44860935,0.000121432,1.00E+00,1
-5.937538147,8.593361855,0.000464349,0.998177886,1
-4.683217525,3.988729239,0.999967337,9.29E-05,1
5.712916374,-13.03897762,1,0,0
3.584013224,-16.12965393,1,0,0
-4.995664597,6.575005531,1,0,1
-5.729953766,9.241538048,1,0,1
-7.812635899,16.50214577,1,0,1
1,0,1,0,0
1,0,1,0,1
0,1,0,1,1
1,0,0,1,1
0,1,1,0,0
1,0,1,0,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
0,1,1,0,0
1,0,0,1,1
0,1,0,1,0
0,1,0,1,0
1,0,0,1,1
0,1,0,1,0
0,1,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,1,1,0,1
1,0,0,1,1
0,1,1,0,0
0,1,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
0,1,0,1,0
0,1,1,0,0
0,1,1,0,0
1,0,1,0,1
1,0,0,1,1
0,1,1,0,0
1,0,1,0,1
1,0,0,1,1
0,1,0,1,0
0,1,1,0,0
1,0,0,1,0
