ted0,ted1,eth0,eth1,label
-9.227840424,25.37118912,-3.757472992,2.554426193,1
18.82241058,-22.77927589,0.86680001,-0.747964621,0
-1.838015318,2.605181456,-1.706917524,1.698398113,1
-4.344213486,14.99142838,-4.311145306,3.973351479,1
-8.023702621,14.88876438,-2.055533886,1.514739156,1
-2.760897398,6.100819111,-1.604313493,1.582293749,1
-0.941365957,3.83140564,-1.840567946,1.474401474,1
-11.15518856,31.13757324,-3.252558708,2.355591774,1
-8.670156479,22.19428444,-2.073471069,1.532942057,1
0.526658595,-3.94801712,-1.933190942,1.197618961,0
1.656381965,-2.655204296,-0.747230113,0.857735515,0
-1.770165801,4.223873615,-2.843783855,2.505347729,1
-5.989322662,15.00407314,-1.143012166,1.105356932,1
8.441109657,-4.39080143,-0.360154986,0.22499314,0
2.4150002,-2.233029842,0.084717803,0.136055335,0
-1.4071033,5.693656921,-1.605463505,1.494802475,1
-5.937277794,19.06302452,-1.568161249,1.557849884,1
-6.212741852,19.4770298,-4.824042797,5.670881271,1
-7.137422562,13.92375088,-0.843893766,0.76655519,1
-3.64991951,9.977075577,-6.645386219,5.96914053,1
-4.521175385,11.9047451,-1.63315928,0.934583187,1
-8.763018608,25.79936028,-1.301706195,1.468361974,1
-4.668105125,12.42779732,-2.081810236,1.941684961,1
-6.378921032,20.17606735,-2.214524269,1.393195868,1
-4.025794983,12.65189838,-0.877884805,0.650428891,1
-5.132996082,7.152781487,-3.258384943,2.893708706,1
-4.676328182,17.49683952,-1.535127759,1.818677187,1
-9.763770103,25.90102196,-2.154901743,2.099447489,1
-0.287908971,0.793356955,-2.652763844,2.121736526,1
-10.2335577,10.02393723,-1.139180183,1.095186234,1
-5.075479984,15.11106968,-2.160453796,1.951875687,1
-2.496660709,10.45225143,-1.16495955,0.983141661,1
-4.516410351,15.4168663,-2.435584545,1.854925632,1
-6.625157356,11.9162302,-3.638054609,4.108219624,1
-3.8214221,10.03057671,-1.016909003,0.822615862,1
23.72415924,-27.11107445,0.401929259,-0.302089185,0
-5.896350384,17.50975609,-1.169388175,1.11446023,1
-4.322391987,7.360087395,-4.826729774,5.020846844,1
-4.275675774,10.65088558,-2.264111042,1.956784725,1
-14.90101147,24.93757629,-2.75164175,2.143837214,1
-4.872795105,14.61629868,-7.275678158,4.486563206,1
10.30892563,-8.180541992,3.230876923,-1.751463056,0
-6.803611279,13.01350498,-0.28786096,0.560593843,1
24.77061081,-27.42917633,0.223006412,-0.018496834,0
-10.38828278,17.47104073,-1.722789049,1.687515974,1
0.67756331,4.509171009,-2.445515871,2.032060623,1
-4.048231602,16.83896637,-0.849552572,0.744060278,1
-2.025597572,5.671335697,-1.049948692,0.774713278,1
11.53660107,-7.27161026,-0.20771414,0.051803268,0
-0.265823245,0.763074875,-3.928446293,3.533292294,1
-13.92282677,25.57910538,-2.441478252,2.841155052,1
-6.947743416,19.17477226,-0.549356699,0.430118829,1
-0.33368504,0.895816386,-3.118834972,2.437597513,1
-3.080965519,7.771259308,-1.429652214,1.194446564,1
15.04176044,-19.71564293,0.103900917,-0.176015466,0
-1.494947433,10.56524086,-2.291550636,2.738882065,1
-1.577150822,8.573769569,-2.451546192,2.057871342,1
-3.221595764,10.1854372,-5.551068306,6.274657726,1
-4.16261816,10.87651062,-3.026553392,2.459913492,1
44.37388611,-62.27587128,1.502087593,-1.39525938,0
-4.692050457,12.88522911,-5.584455013,3.236427784,1
-3.346580029,13.48328972,-4.448992252,4.354320049,1
-0.34280163,0.895720363,-1.68360436,1.279162884,1
-8.087795258,17.34228897,-3.307427883,3.366083145,1
-6.24881506,7.03209877,-1.51832509,1.271259069,1
-0.451502651,10.52861214,-6.791041851,5.146913052,1
21.29882431,-18.64915085,1.208546758,-1.144662976,0
-4.364162445,17.92801094,-1.377322555,1.189534307,1
-0.34280163,0.895720363,1.749170542,-1.117242575,0
-3.619820595,5.660144329,-1.048690319,1.105987787,1
-2.87361145,7.057765007,-2.983453512,2.741611242,1
-11.50275707,23.68216896,-2.928409338,3.637476206,1
-4.298012257,10.34497261,-2.136723995,2.123045444,1
-6.977397442,20.07384872,-1.369600773,1.138144851,1
-1.980769277,11.66850567,-2.179032803,1.751749992,1
-6.701575756,20.59366608,-7.793401718,7.710746765,1
-5.805251122,16.27379417,-7.81395483,8.590001106,1
2.940020561,-5.968877792,2.416596889,-2.103149652,0
12.14873886,-17.72972107,1.766049266,-1.448402882,0
-6.389574051,11.08883286,-1.46228528,1.340916634,1
-8.621535301,14.6699295,-4.123352528,2.570955276,1
1.856309891,2.147292614,-1.574569702,1.475406647,1
-11.77412224,25.59860992,-1.798799634,1.721608877,1
-1.93775022,5.641356468,-1.154909372,1.057317019,1
-10.36748505,18.17425919,-4.485375881,3.567737341,1
-0.792479038,3.426306248,-1.411028147,1.437924743,1
14.97562599,-19.95176125,-1.151036263,0.991330802,0
-0.363992363,0.932804167,-1.121491671,1.239689589,1
-5.287659168,10.51761913,-2.806504488,2.752577305,1
-2.116233826,7.149707794,-1.824526906,1.925097942,1
-5.325217724,14.77587795,-1.537112713,1.276674747,1
-8.20731926,23.54308319,-2.278433561,2.260364294,1
-3.083602905,6.707667351,-1.78237772,1.638334036,1
33.87220001,-38.77311707,-0.61969167,0.720920205,0
4.394083023,-6.95825386,-0.748705268,0.683303595,0
37.94112396,-43.66530609,0.325514764,-0.165886089,0
-6.211130142,18.12612152,-1.499671578,1.790703297,1
-6.962090492,16.067873,-1.287970781,1.057615995,1
-8.005573273,26.59017372,-1.860221267,2.089314222,1
-4.117266178,6.550134182,-7.534707546,7.868136406,1
-2.297605276,5.550592422,-3.672981024,2.965105772,1
5.719540596,-5.884834766,-1.002360702,0.808511496,0
-5.897478104,13.71535778,-1.826241493,1.916309357,1
-1.749269962,4.417015076,-0.906832397,1.170959115,1
-8.459308624,23.97472572,-0.728061676,0.770989478,1
-8.54891777,24.36083031,0.14889738,-0.252527148,1
-8.19753933,18.1018219,-2.594381571,2.15847373,1
12.22799301,-14.55729866,-0.978614926,0.969746649,0
17.93988991,-17.53104401,-0.245705545,0.562409341,0
-11.58828545,24.16201019,-1.924427271,1.936169386,1
-6.888757229,15.79376221,-1.768182516,1.884687901,1
-4.62018919,12.11386204,-4.796784878,5.921035767,1
-4.670915604,11.77153587,-1.92914319,2.311902523,1
-6.135776043,14.55989933,-1.208467364,1.333061218,1
-12.5602951,34.99129868,-0.651461005,0.698414862,1
-6.227286816,15.01939678,-0.584243119,0.617657185,1
-8.542167664,15.33884621,-3.907172441,5.976999283,1
-3.598084688,8.490637779,-10.90258789,5.71520853,1
9.798231125,-9.372174263,-0.643212795,0.848156393,0
-9.532588959,22.38307953,-2.237114429,1.732259274,1
-11.13506889,24.08077049,-1.609955788,1.150910378,1
17.90592575,-21.53193665,1.502087951,-1.044953108,0
-2.97042799,5.345859528,-0.959006965,0.877684534,1
-3.338816166,12.38273048,-1.058140516,1.042711854,1
-10.04091454,22.44697952,-1.988670349,2.248560429,1
-6.688457966,14.85102558,-1.6392169,1.500487328,1
-7.628401279,21.18883324,-0.47260499,0.567328274,1
-3.018879652,13.63273716,-1.865686417,1.181713104,1
-6.149045467,18.07237244,-1.58406508,1.353247762,1
-10.7499733,30.62822533,-4.146244049,9.813262939,1
18.71233749,-22.1879425,4.451611996,-3.78172636,0
-12.22684479,31.29330063,-2.846765995,2.751451015,1
-11.44946861,19.18548393,-1.898312688,1.668684602,1
13.34156036,-8.621174812,0.496945709,-0.314083815,0
-11.97186184,34.0153389,-1.809094667,1.877952933,1
-11.34670353,28.74853516,-0.554444253,0.32794264,1
-0.833332658,8.927659035,-1.299893022,1.353765607,1
-3.389004707,13.32715607,-4.438128948,4.371798992,1
4.060297012,-13.74237156,-0.390432447,0.316029668,0
-10.79071522,24.7924633,-2.433771372,2.382568121,1
-5.852126598,18.17888832,-2.349241018,2.146897078,1
-11.05252361,32.93423843,-0.832390547,0.612395465,1
-2.408168316,7.482117653,-1.63825047,1.488853097,1
-2.83927393,6.865430832,-1.825511336,1.282497287,1
5.19974947,-6.703998566,0.635599852,-0.619375706,0
-5.697380066,11.98807907,-3.926655054,4.395878792,1
14.35714912,-16.98730659,1.855992198,-1.627159119,0
-10.00639057,25.29635239,-3.250763893,4.12918663,1
-6.997216225,11.63535118,-1.00319314,1.031851053,1
-8.645197868,20.01131248,-8.419205666,4.617409229,1
-5.35773468,13.47293282,-0.820570707,1.036394715,1
-8.319943428,23.38020134,-1.304833412,1.277318597,1
11.85975075,-7.520734787,0.117651343,-0.061564106,0
-9.684285164,6.077177048,-2.113369226,1.659801841,1
-6.972810745,18.13738632,-1.909753919,1.778154254,1
-5.039078712,14.79354763,-3.46570015,2.911113977,1
-13.18756962,34.58154297,-0.609939396,0.641417623,1
-12.34782314,18.86595345,-3.13823843,2.179784298,1
-8.932926178,16.97411919,-1.887046814,1.556999087,1
-2.412795782,5.938720703,-1.426256895,1.530570865,1
-6.742305756,19.10733032,-2.413488388,1.836094379,1
17.30129623,-21.68234825,2.416416407,-2.227261066,0
-5.345099449,15.61419487,-3.713783979,3.038837671,1
-3.550596714,9.015223503,-0.502182186,0.429550409,1
-12.18581486,14.89335537,-2.026612997,1.253574371,1
-5.548413277,7.95118475,-0.930830121,0.955954909,1
-3.088240385,6.474556923,-0.95008415,0.773034215,1
-7.297283649,17.97322273,-0.39295873,0.489485204,1
-7.61473608,19.15235138,-1.719833612,1.467431903,1
-15.15390491,28.40948296,-0.141516507,0.418743551,1
-15.97307682,40.49046326,-4.267519951,6.806075573,1
-12.04111576,33.1984024,-2.04397583,1.855927587,1
-11.20998001,19.64883041,-2.480488062,2.306952477,1
8.758301735,-2.385095835,-0.702814102,0.676528633,0
-14.04432297,25.7268486,-3.281594992,2.973595142,1
17.79459572,-22.61123085,1.908995748,-1.563743711,0
-5.971103191,19.18636894,-2.81668973,2.480471611,1
-6.131503105,16.42064095,-0.583108068,0.602959514,1
-6.930966377,13.38849163,-2.30468154,2.899877071,1
-9.846655846,19.60420799,-1.13929975,1.402534366,1
-2.580351353,8.432946205,-1.544355512,1.242602944,1
-3.730196476,8.601655006,-1.902935028,1.603197932,1
-9.563900948,26.35949898,-2.840041876,2.28442812,1
-8.772963524,20.03146553,-1.452814817,1.465371847,1
5.214751244,-9.791675568,3.289714575,-2.955390453,0
-7.456804752,14.23953056,-2.947415829,4.739429474,1
-2.840841532,6.518809795,-2.233537436,2.194231033,1
-11.45381069,28.19023705,-1.338640332,1.360279799,1
-19.26437569,44.64379883,-3.196260691,4.100019455,1
-10.70386505,22.31494713,-1.512787104,1.12740767,1
-13.20990849,21.14838219,-1.478965521,1.502974033,1
-10.05718136,19.85014343,-0.435207129,0.507187963,1
11.76698685,-10.28271866,0.004546968,0.012520906,0
-8.484481812,20.66963005,-0.626128972,0.833005965,1
-8.134161949,20.03648186,-1.669775963,1.458501935,1
-7.7407341,21.16902924,-1.679747343,1.689929843,1
-8.316797256,18.33516121,-0.291594058,0.28095606,1
-8.924859047,20.04866409,-1.867377043,2.099856853,1
-10.38002014,29.4125042,-2.975620031,3.45326519,1
-9.440694809,19.85904312,-0.796059847,0.714827955,1
-0.458942235,1.111593843,0.423237979,-0.289675206,0
-5.078176975,12.81741905,-0.72140789,0.900247455,1
-13.60001469,31.19725418,-0.779513776,0.703776777,1
-13.46760273,35.67950439,-1.949914813,0.944661498,1
-7.954812527,19.74228668,-0.326099426,0.271113902,1
18.99314308,-18.46233559,1.147836328,-1.871498942,0
-9.774381638,19.47127724,0.966316521,-0.993428171,1
-11.47057724,37.48960495,-1.540556312,1.419905424,1
-6.599177837,12.45912838,-2.666910172,2.762945175,1
-8.054186821,16.82219887,-1.176519275,1.379379988,1
-2.591940165,6.726233959,-1.173708677,1.148665786,1
-11.49958324,22.9889183,-1.746996045,1.419404387,1
-9.871694565,26.25776672,-2.224326372,2.017669439,1
6.42162323,-11.10899162,0.275592417,-0.251012862,0
-6.772456169,17.06072044,-2.00233984,1.920117259,1
-3.427561045,9.034766197,-2.642602682,2.661574364,1
12.49264336,-13.0842495,-1.09168148,0.831367791,0
